emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,interest_rate,grade,dti,installment,region
3,MORTGAGE,Low,31500,4500, 36 months,other,Low,9.88,B,20.76,144.95,cannught
0.5,RENT,Low,86000,6000, 36 months,other,Low,7.14,A,3.42,185.64,cannught
2,RENT,Low,90000,12000, 36 months,debt_consolidation,Low,10.62,B,24.16,390.72,munster
5,MORTGAGE,Low,50055,15000, 36 months,debt_consolidation,Low,10.62,B,16.18,488.4,cannught
10,RENT,Low,66690,20000, 36 months,debt_consolidation,High,14.59,D,23.52,689.3,Northern-Irl
5,MORTGAGE,Low,75694,22000, 36 months,other,Low,10.25,B,15.46,712.47,cannught
10,RENT,Low,62217,3700, 36 months,other,Low,7.74,A,22.99,115.51,munster
0.5,RENT,Low,48000,5000, 36 months,major_purchase,High,13.48,C,3.13,169.63,Northern-Irl
2,RENT,Low,41600,11200, 36 months,debt_consolidation,Low,10.62,B,15.92,364.67,ulster
10,RENT,Low,84200,24500, 36 months,debt_consolidation,High,13.85,C,21.72,835.55,Northern-Irl
4,RENT,Low,72000,10000, 36 months,debt_consolidation,High,13.85,C,12.83,341.04,ulster
5,MORTGAGE,Low,80000,20000, 36 months,credit_card,High,14.96,D,20.76,692.93,cannught
10,OWN,Low,25100,10800, 36 months,other,High,14.59,D,1.96,372.23,Northern-Irl
10,MORTGAGE,Medium,120000,15000, 36 months,other,Low,10.25,B,14.2,485.78,cannught
0.5,RENT,Low,29000,6250, 36 months,debt_consolidation,Low,10.99,B,23.88,204.6,cannught
0.5,OWN,Low,20400,3800, 36 months,debt_consolidation,High,14.59,D,19.29,130.97,ulster
7,MORTGAGE,Low,24000,10000, 36 months,debt_consolidation,Low,7.51,A,10.8,311.1,munster
9,RENT,Low,49500,6000, 36 months,debt_consolidation,High,16.07,D,15.39,211.17,ulster
9,RENT,Low,35000,8000, 36 months,moving,Low,12.73,C,5.11,268.53,cannught
3,MORTGAGE,Low,63344,8000, 36 months,debt_consolidation,Low,11.36,B,15.04,263.29,leinster
5,RENT,Low,62000,7000, 36 months,debt_consolidation,Low,10.62,B,18.29,227.92,Northern-Irl
8,RENT,Low,25000,5000, 36 months,credit_card,Low,10.62,B,7.06,162.8,leinster
10,MORTGAGE,Low,100000,12000, 36 months,debt_consolidation,High,15.33,D,20.48,417.94,cannught
0.5,RENT,Medium,150000,11200, 36 months,credit_card,Low,11.14,B,7.13,367.4,Northern-Irl
10,MORTGAGE,Medium,126000,15000, 36 months,major_purchase,Low,7.88,A,5.94,469.21,leinster
10,RENT,Low,30000,2500, 36 months,major_purchase,Low,9.88,B,21.16,80.53,cannught
3,RENT,Low,55000,6000, 36 months,debt_consolidation,Low,10.99,B,22.49,196.42,leinster
2,OWN,Low,33000,11000, 36 months,debt_consolidation,Low,13.11,C,14.58,371.2,Northern-Irl
10,MORTGAGE,Medium,105000,13000, 36 months,debt_consolidation,Low,10.25,B,17.22,421.01,leinster
9,MORTGAGE,Medium,130000,25000, 36 months,debt_consolidation,High,15.33,D,16.35,870.71,ulster
5,RENT,Low,76000,11800, 36 months,debt_consolidation,Low,13.11,C,20.42,398.19,leinster
6.05,RENT,Low,45000,10000, 36 months,small_business,High,14.22,C,4.51,342.85,Northern-Irl
5,RENT,Low,55000,6000, 36 months,debt_consolidation,Low,7.51,A,22.28,186.66,Northern-Irl
10,RENT,Medium,140000,10000, 36 months,credit_card,High,13.85,C,7.25,341.04,cannught
3,RENT,Low,63000,2400, 36 months,major_purchase,Low,7.14,A,12.19,74.26,Northern-Irl
2,OWN,Low,30000,10000, 36 months,home_improvement,Low,7.88,A,4.84,312.81,ulster
4,MORTGAGE,Medium,200000,12000, 36 months,wedding,Low,7.88,A,3.02,375.37,cannught
10,MORTGAGE,Low,66000,5000, 36 months,other,High,13.48,C,2.71,169.63,ulster
9,RENT,Low,66000,2550, 36 months,car,Low,11.36,B,18.42,83.93,ulster
3,MORTGAGE,Medium,150000,23975, 36 months,debt_consolidation,High,17.93,E,23.44,865.92,leinster
0.5,MORTGAGE,Medium,160000,17400, 36 months,other,Low,7.88,A,8.12,544.28,cannught
2,RENT,Low,62400,25000, 36 months,debt_consolidation,High,14.96,D,18.5,866.16,ulster
3,MORTGAGE,Low,61400,10000, 36 months,debt_consolidation,Low,12.73,C,19.64,335.67,Northern-Irl
0.5,RENT,Low,35000,2500, 36 months,debt_consolidation,High,15.33,D,4.22,87.08,Northern-Irl
2,OWN,Low,24000,1875, 36 months,debt_consolidation,Low,10.25,B,10.81,60.73,leinster
1,RENT,Low,73000,14000, 36 months,credit_card,Low,13.11,C,21.34,472.43,Northern-Irl
0.5,RENT,Low,19200,3000, 36 months,debt_consolidation,High,17.19,E,5.13,107.24,leinster
4,MORTGAGE,Low,48500,6000, 36 months,debt_consolidation,Low,7.88,A,18.09,187.69,Northern-Irl
6.05,RENT,Low,17497,3700, 36 months,other,High,14.22,C,3.36,126.86,munster
0.5,OWN,Low,40000,6400, 36 months,debt_consolidation,High,14.22,C,0.57,219.42,Northern-Irl
10,MORTGAGE,Medium,126000,24000, 36 months,other,Low,11.36,B,24.7,789.87,Northern-Irl
10,RENT,Low,55000,10000, 36 months,other,High,16.45,E,16.97,353.78,leinster
10,MORTGAGE,Low,50000,12250, 36 months,small_business,Low,12.73,C,16.63,411.19,munster
1,RENT,Low,33000,5000, 36 months,major_purchase,Low,10.25,B,1.42,161.93,munster
2,MORTGAGE,Low,85000,10000, 36 months,debt_consolidation,Low,7.88,A,4.48,312.81,ulster
10,MORTGAGE,Medium,150000,25000, 36 months,debt_consolidation,Low,10.62,B,3.45,814,ulster
4,RENT,Medium,120000,12000, 36 months,moving,Low,7.88,A,19.6,375.37,munster
3,OTHER,Low,25000,11200, 36 months,debt_consolidation,Low,7.88,A,19.15,350.34,leinster
5,OWN,Low,36000,14400, 36 months,debt_consolidation,Low,10.62,B,22.43,468.86,Northern-Irl
3,MORTGAGE,Low,50000,7000, 36 months,debt_consolidation,High,13.48,C,11.09,237.47,cannught
10,RENT,Low,65000,15000, 36 months,debt_consolidation,Low,9.88,B,6.76,483.16,Northern-Irl
6.05,MORTGAGE,Low,36000,10000, 36 months,other,High,14.22,C,3.83,342.85,Northern-Irl
5,RENT,Low,57600,7500, 36 months,debt_consolidation,High,13.85,C,14.33,255.78,ulster
2,OWN,Medium,180000,25000, 36 months,home_improvement,Low,10.99,B,0.07,818.38,Northern-Irl
3,OWN,Low,19000,7400, 36 months,debt_consolidation,High,13.85,C,12.44,252.37,cannught
2,RENT,Low,63000,12500, 36 months,debt_consolidation,Low,10.25,B,11.77,404.81,ulster
5,RENT,Low,38000,7000, 36 months,educational,Low,7.51,A,17.43,217.77,Northern-Irl
4,MORTGAGE,Low,55000,8500, 36 months,debt_consolidation,Low,7.88,A,7.85,265.89,ulster
1,MORTGAGE,Low,63000,8000, 36 months,small_business,Low,12.73,C,15.26,268.53,cannught
3,RENT,Low,37000,13000, 36 months,debt_consolidation,Low,10.25,B,17.61,421.01,cannught
10,MORTGAGE,High,300000,18000, 36 months,credit_card,High,16.45,E,6.77,636.8,leinster
6.05,MORTGAGE,Low,60000,6000, 36 months,moving,Low,12.73,C,12.8,201.4,cannught
7,RENT,Low,54500,18000, 36 months,debt_consolidation,High,13.85,C,13.59,613.87,leinster
4,MORTGAGE,Low,99000,9000, 36 months,debt_consolidation,Low,7.14,A,10.04,278.46,cannught
4,MORTGAGE,Medium,135000,20000, 36 months,small_business,Low,12.73,C,7.91,671.33,ulster
2,MORTGAGE,Medium,170000,12000, 36 months,other,High,16.45,E,10.05,424.53,ulster
4,OWN,Medium,200000,23500, 36 months,major_purchase,Low,10.99,B,0.67,769.28,Northern-Irl
9,MORTGAGE,Low,94000,10000, 36 months,moving,Low,7.51,A,5.96,311.1,ulster
2,MORTGAGE,Low,98000,5000, 36 months,major_purchase,Low,7.14,A,8.33,154.7,ulster
9,MORTGAGE,Low,95000,12000, 36 months,debt_consolidation,Low,10.99,B,4.47,392.83,Northern-Irl
4,MORTGAGE,Low,85000,15000, 36 months,house,Low,9.88,B,0.21,483.16,Northern-Irl
10,RENT,Low,85000,3200, 36 months,other,Low,10.25,B,2.51,103.64,ulster
0.5,RENT,Low,24000,5000, 36 months,other,Low,7.51,A,3.6,155.55,munster
3,MORTGAGE,Low,51000,15200, 36 months,debt_consolidation,Low,10.99,B,8.56,497.58,Northern-Irl
0.5,MORTGAGE,Low,73392,15000, 36 months,medical,High,13.85,C,16.24,511.56,Northern-Irl
10,RENT,Low,37000,15000, 36 months,wedding,High,14.96,D,14.14,519.7,Northern-Irl
2,RENT,Low,70000,20000, 36 months,debt_consolidation,High,13.85,C,8.16,682.08,Northern-Irl
9,MORTGAGE,Low,55000,13000, 36 months,debt_consolidation,High,13.85,C,13.9,443.35,cannught
10,MORTGAGE,Medium,105000,12000, 36 months,debt_consolidation,High,13.48,C,11.18,407.09,munster
2,MORTGAGE,Low,62000,20000, 36 months,house,Low,10.25,B,16.32,647.7,ulster
10,MORTGAGE,Medium,140000,20000, 36 months,small_business,Low,13.11,C,9.21,674.9,leinster
3,RENT,Low,27840,6000, 36 months,major_purchase,High,16.45,E,15.13,212.27,munster
10,RENT,Low,36000,7500, 36 months,other,Low,11.36,B,18.87,246.84,Northern-Irl
3,MORTGAGE,Low,83500,1600, 36 months,other,Low,6.76,A,3.65,49.24,Northern-Irl
5,MORTGAGE,Low,75000,8500, 36 months,debt_consolidation,High,17.19,E,7.86,303.85,leinster
0.5,MORTGAGE,Medium,120000,20000, 36 months,credit_card,High,13.85,C,13.61,682.08,leinster
3,MORTGAGE,Low,60000,11500, 36 months,debt_consolidation,Low,7.88,A,4.96,359.73,Northern-Irl
10,MORTGAGE,Low,70000,11000, 36 months,debt_consolidation,High,15.33,D,24.12,383.12,leinster
2,RENT,Low,67500,7200, 36 months,credit_card,Low,7.88,A,19.47,225.22,ulster
3,RENT,Low,45000,16000, 36 months,debt_consolidation,Low,12.73,C,19.29,537.06,ulster
4,MORTGAGE,Low,78000,14500, 36 months,debt_consolidation,Low,7.51,A,17.8,451.09,ulster
8,RENT,Low,34000,14000, 36 months,debt_consolidation,Low,10.62,B,18.07,455.84,cannught
0.5,RENT,Low,12000,4000, 36 months,major_purchase,High,14.22,C,2.4,137.14,Northern-Irl
0.5,RENT,Low,57000,15000, 36 months,wedding,High,13.85,C,12.74,511.56,Northern-Irl
10,MORTGAGE,Low,56244,12000, 36 months,debt_consolidation,High,14.22,C,13.93,411.41,leinster
6.05,MORTGAGE,Medium,134000,25000, 36 months,small_business,Low,10.25,B,0.13,809.62,cannught
1,OWN,Low,37000,16750, 36 months,debt_consolidation,High,15.33,D,15.73,583.38,ulster
8,RENT,Low,73000,18000, 36 months,debt_consolidation,Low,13.11,C,10.25,607.41,ulster
10,RENT,Low,48000,10000, 36 months,debt_consolidation,High,15.7,D,23.63,350.11,leinster
3,RENT,Low,55000,20000, 36 months,debt_consolidation,High,13.48,C,10.89,678.49,ulster
0.5,RENT,Low,23000,2100, 36 months,other,High,13.48,C,3.7,71.25,ulster
0.5,RENT,Low,18000,8000, 36 months,credit_card,Low,10.25,B,16.87,259.08,leinster
3,RENT,Low,44412,12000, 36 months,debt_consolidation,Low,13.11,C,22.43,404.94,ulster
1,MORTGAGE,Low,99000,6000, 36 months,debt_consolidation,Low,10.25,B,21.9,194.31,munster
1,RENT,Low,14040,4750, 36 months,debt_consolidation,Low,10.25,B,14.62,153.83,leinster
10,MORTGAGE,Low,32500,5000, 36 months,major_purchase,Low,7.14,A,7.46,154.7,leinster
1,RENT,Low,15500,3000, 36 months,credit_card,Low,7.51,A,14.55,93.33,cannught
3,RENT,Low,80000,21000, 36 months,other,Low,10.99,B,18.82,687.44,ulster
10,MORTGAGE,Medium,122000,6000, 36 months,credit_card,Low,7.51,A,1.46,186.66,Northern-Irl
4,RENT,Low,40000,4000, 36 months,major_purchase,Low,10.25,B,4.2,129.54,leinster
0.5,RENT,Medium,110000,22000, 36 months,debt_consolidation,Low,11.36,B,8.51,724.05,ulster
2,RENT,Low,42000,10000, 36 months,credit_card,Low,7.88,A,19.77,312.81,Northern-Irl
0.5,RENT,Low,28080,12000, 36 months,debt_consolidation,Low,7.88,A,6.67,375.37,cannught
7,MORTGAGE,Low,80000,19000, 36 months,credit_card,Low,10.62,B,13.29,618.64,Northern-Irl
10,MORTGAGE,Low,70000,6500, 36 months,major_purchase,Low,7.88,A,23.09,203.33,Northern-Irl
10,MORTGAGE,Low,71000,20000, 36 months,debt_consolidation,Low,11.36,B,8.25,658.23,cannught
5,MORTGAGE,Low,70000,10000, 36 months,home_improvement,High,13.85,C,7.89,341.04,leinster
8,MORTGAGE,Medium,124000,12000, 36 months,credit_card,High,14.59,D,15.36,413.58,Northern-Irl
10,MORTGAGE,Low,64000,24000, 36 months,debt_consolidation,Low,10.25,B,7.59,777.24,ulster
0.5,MORTGAGE,Low,16800,4750, 36 months,other,High,13.85,C,11.64,162,ulster
10,RENT,Low,48000,9800, 36 months,debt_consolidation,Low,7.88,A,7.95,306.55,ulster
0.5,RENT,Low,15000,2100, 36 months,other,Low,13.11,C,19.04,70.87,ulster
3,OWN,Low,69830,15000, 36 months,medical,High,16.45,E,11.02,530.67,ulster
2,MORTGAGE,Medium,124000,24250, 36 months,debt_consolidation,Low,11.36,B,13.73,798.1,Northern-Irl
3,OWN,Low,30000,11500, 36 months,debt_consolidation,Low,11.36,B,22.68,378.48,Northern-Irl
0.5,OWN,Low,24000,7000, 36 months,major_purchase,Low,7.14,A,14.85,216.58,leinster
4,OWN,Low,45000,20000, 36 months,major_purchase,Low,10.62,B,19.17,651.2,leinster
10,RENT,Low,37000,10500, 36 months,credit_card,High,15.33,D,14.3,365.7,Northern-Irl
6,MORTGAGE,Low,29200,2500, 36 months,other,Low,6.76,A,2.38,76.93,cannught
3,MORTGAGE,Low,54000,9000, 36 months,debt_consolidation,Low,7.51,A,16.29,279.99,leinster
10,MORTGAGE,Low,40000,15000, 36 months,debt_consolidation,Low,9.88,B,12,483.16,ulster
5,MORTGAGE,Low,66000,15000, 36 months,other,Low,9.88,B,7.69,483.16,munster
10,MORTGAGE,Low,46500,1300, 36 months,credit_card,High,14.96,D,16,45.05,cannught
10,MORTGAGE,Low,95904,16000, 36 months,debt_consolidation,High,16.07,D,12.74,563.11,Northern-Irl
2,RENT,Low,39456,4000, 36 months,medical,High,16.45,E,16.88,141.51,ulster
1,OTHER,Low,57500,13000, 36 months,debt_consolidation,High,16.07,D,23.85,457.52,cannught
0.5,MORTGAGE,Low,85000,12000, 36 months,credit_card,Low,10.25,B,18.56,388.62,ulster
9,RENT,Low,34000,15000, 36 months,other,Low,9.88,B,16.41,483.16,Northern-Irl
2,RENT,Low,45000,4800, 36 months,debt_consolidation,Low,13.22,C,15.17,162.25,Northern-Irl
0.5,MORTGAGE,Low,81600,4000, 36 months,small_business,High,13.57,C,8.71,135.88,ulster
3,MORTGAGE,Low,43000,9800, 36 months,major_purchase,Low,8.59,A,14.99,309.78,ulster
7,RENT,Low,48000,7500, 36 months,car,High,17.04,E,4.92,267.56,ulster
0.5,RENT,Low,12000,2000, 36 months,moving,Low,7.74,A,14.9,62.44,Northern-Irl
10,RENT,Low,40000,5600, 36 months,other,High,14.61,D,17.58,193.07,leinster
10,MORTGAGE,Low,68000,6500, 36 months,debt_consolidation,Low,8.94,A,16.45,206.52,Northern-Irl
0.5,RENT,Low,36000,15000, 36 months,major_purchase,High,14.61,D,9.17,517.13,munster
5,OWN,Low,30000,3000, 36 months,debt_consolidation,Low,12.18,B,20.04,99.9,cannught
1,RENT,Low,51000,10000, 36 months,debt_consolidation,Low,11.83,B,13.84,331.34,Northern-Irl
9,RENT,Low,28800,2000, 36 months,debt_consolidation,Low,11.48,B,14.25,65.94,cannught
3,RENT,Low,45000,9600, 36 months,debt_consolidation,Low,12.18,B,3.84,319.68,leinster
5,RENT,Low,35000,13000, 36 months,debt_consolidation,Low,13.22,C,22.53,439.41,cannught
9,MORTGAGE,Low,60000,16000, 36 months,debt_consolidation,High,16.35,E,24.8,565.27,leinster
8,RENT,Low,62046,8000, 36 months,debt_consolidation,Low,8.59,A,4.8,252.89,Northern-Irl
0.5,MORTGAGE,Low,12960,4500, 36 months,debt_consolidation,Low,11.83,B,9.17,149.11,leinster
9,RENT,Low,70000,16525, 36 months,debt_consolidation,High,13.92,C,14.09,564.12,ulster
5,RENT,Low,50000,1500, 36 months,other,High,13.92,C,17.04,51.21,ulster
3,MORTGAGE,High,204000,25000, 36 months,home_improvement,High,15.31,D,7.21,870.39,ulster
8,RENT,Low,88000,17600, 36 months,debt_consolidation,High,14.26,C,8.73,603.79,Northern-Irl
10,MORTGAGE,Low,80000,12000, 36 months,home_improvement,High,16.35,E,5.64,423.95,leinster
0.5,MORTGAGE,Low,50000,2000, 36 months,small_business,High,19.13,F,17.28,73.45,munster
5,MORTGAGE,Medium,150000,12000, 36 months,debt_consolidation,Low,11.14,B,2.37,393.65,Northern-Irl
6,MORTGAGE,Low,96000,8000, 36 months,credit_card,High,14.96,D,5.65,277.16,Northern-Irl
3,OWN,Low,36000,8000, 36 months,credit_card,Low,12.53,B,10.37,267.74,munster
3,MORTGAGE,Low,31200,3600, 36 months,car,Low,11.48,B,11.23,118.69,ulster
5,MORTGAGE,Medium,130000,25000, 36 months,home_improvement,Low,12.53,B,11.13,836.66,Northern-Irl
7,MORTGAGE,Low,54000,7500, 36 months,debt_consolidation,Low,13.22,C,15.56,253.51,Northern-Irl
4,RENT,Medium,105000,24250, 36 months,debt_consolidation,High,15.65,D,1.1,848.42,Northern-Irl
2,RENT,Low,24000,6000, 36 months,debt_consolidation,Low,12.87,C,8.7,201.8,cannught
3,RENT,Low,65000,4000, 36 months,credit_card,Low,7.74,A,1.83,124.88,ulster
0.5,RENT,Low,20800,6000, 36 months,major_purchase,High,14.26,C,0.87,205.84,leinster
10,MORTGAGE,Medium,120000,6000, 36 months,debt_consolidation,Low,7.74,A,4.7,187.32,Northern-Irl
7,MORTGAGE,Low,90000,17600, 36 months,debt_consolidation,High,16.35,E,17.35,621.8,Northern-Irl
2,MORTGAGE,Low,40000,10000, 36 months,debt_consolidation,Low,11.83,B,0.54,331.34,munster
1,RENT,Low,36000,8400, 36 months,debt_consolidation,Low,13.22,C,2.3,283.93,ulster
1,RENT,Low,40000,7000, 36 months,debt_consolidation,Low,11.14,B,21.99,229.63,cannught
4,RENT,Low,29808,7750, 36 months,credit_card,Low,12.87,C,22.42,260.66,ulster
6,RENT,Low,85000,12500, 36 months,debt_consolidation,Low,6,D,9.98,380.27,leinster
0.5,RENT,Low,38000,5000, 36 months,debt_consolidation,High,13.92,C,5.68,170.69,Northern-Irl
0.5,MORTGAGE,Low,41600,10000, 36 months,home_improvement,Low,8.94,A,6.61,317.72,Northern-Irl
2,RENT,Low,98000,20000, 36 months,debt_consolidation,Low,11.83,B,19.93,662.68,ulster
1,RENT,Low,32400,10000, 36 months,credit_card,Low,11.48,B,23.41,329.69,leinster
10,OWN,Low,51600,20000, 36 months,home_improvement,Low,12.87,C,0.23,672.67,Northern-Irl
2,RENT,Low,43000,6000, 36 months,debt_consolidation,Low,13.22,C,22.32,202.81,ulster
1,RENT,Low,72000,7500, 36 months,debt_consolidation,Low,13.22,C,24.23,253.51,ulster
1,OWN,Low,35000,4175, 36 months,debt_consolidation,Low,7.74,A,8.98,130.34,munster
10,OWN,Low,39124,5000, 36 months,other,Low,7.74,A,10.98,156.1,cannught
10,MORTGAGE,Low,67499,19600, 36 months,debt_consolidation,High,15.65,D,13.58,685.73,ulster
3,RENT,High,287000,24250, 36 months,debt_consolidation,Low,12.53,B,13.89,811.56,leinster
10,RENT,Low,20000,5400, 36 months,home_improvement,High,14.61,D,4.8,186.17,Northern-Irl
4,MORTGAGE,Low,75000,21000, 36 months,debt_consolidation,Low,11.48,B,15.63,692.34,munster
2,OWN,Low,13920,7750, 36 months,educational,High,17.04,E,2.24,276.48,munster
3,RENT,Low,45000,10000, 36 months,debt_consolidation,Low,12.87,C,12.64,336.34,Northern-Irl
1,RENT,Medium,102000,25000, 36 months,small_business,High,15.65,D,7.36,874.66,munster
10,MORTGAGE,Low,100000,13000, 36 months,debt_consolidation,Low,8.59,A,18.35,410.94,cannught
3,MORTGAGE,Low,30000,5000, 36 months,debt_consolidation,Low,7.74,A,7.96,156.1,Northern-Irl
5,MORTGAGE,Low,38500,2500, 36 months,debt_consolidation,High,13.57,C,13.5,84.93,leinster
5,MORTGAGE,High,207000,3600, 36 months,small_business,High,14.26,C,2.24,123.51,ulster
0.5,RENT,Low,43500,10450, 36 months,debt_consolidation,High,13.57,C,22.1,354.98,munster
9,MORTGAGE,Low,75000,5000, 36 months,debt_consolidation,Low,8.59,A,12.59,158.06,Northern-Irl
10,RENT,Low,37440,19750, 36 months,major_purchase,High,13.92,C,14.13,674.21,munster
4,RENT,Low,49278,11000, 36 months,debt_consolidation,Low,13.22,C,15.54,371.81,Northern-Irl
2,OWN,Low,80000,6000, 36 months,other,High,19.13,F,0.38,220.33,Northern-Irl
3,RENT,Low,90000,12000, 36 months,debt_consolidation,Low,8.94,A,6.19,381.26,Northern-Irl
10,MORTGAGE,Low,72000,16000, 36 months,other,High,14.26,C,18.87,548.9,ulster
2,RENT,Low,43000,3200, 36 months,debt_consolidation,Low,11.48,B,21.43,105.5,Northern-Irl
0.5,MORTGAGE,Low,30000,5000, 36 months,car,Low,11.48,B,9.92,164.85,leinster
1,RENT,Low,38500,3000, 36 months,credit_card,Low,11.48,B,3.05,98.91,cannught
2,MORTGAGE,Low,33000,1000, 36 months,credit_card,Low,12.18,B,13.56,33.3,ulster
0.5,RENT,Low,37000,8000, 36 months,major_purchase,Low,8.94,A,21.41,254.18,ulster
0.5,MORTGAGE,Low,100000,20000, 36 months,educational,Low,11.83,B,6.72,662.68,ulster
0.5,MORTGAGE,Low,38117,13500, 36 months,debt_consolidation,Low,11.83,B,22.54,447.31,munster
10,RENT,Low,90000,18000, 36 months,debt_consolidation,Low,8.94,A,4.64,571.89,Northern-Irl
2,RENT,Low,26000,7500, 36 months,debt_consolidation,Low,12.18,B,0,249.75,ulster
5,MORTGAGE,Low,48000,7800, 36 months,debt_consolidation,Low,8.94,A,12.95,247.82,Northern-Irl
0.5,RENT,Low,100000,24250, 36 months,debt_consolidation,Low,12.87,C,13.52,815.61,Northern-Irl
3,RENT,Low,47500,6000, 36 months,debt_consolidation,High,16.7,E,0.76,213.01,Northern-Irl
2,RENT,Low,58900,14900, 36 months,debt_consolidation,High,13.57,C,12,506.14,leinster
4,RENT,Medium,108000,4300, 36 months,other,Low,11.83,B,17.63,142.48,Northern-Irl
3,RENT,Low,42000,12000, 36 months,debt_consolidation,High,13.57,C,21.77,407.63,ulster
5,RENT,Low,38296,12000, 36 months,debt_consolidation,Low,12.87,C,14.98,403.6,leinster
0.5,OWN,Low,70000,15000, 36 months,educational,Low,12.18,B,2.18,499.5,Northern-Irl
8,RENT,Low,75797,5600, 36 months,other,Low,13.22,C,3.31,189.29,Northern-Irl
0.5,RENT,Low,44000,9000, 36 months,house,Low,8.94,A,8.97,285.95,Northern-Irl
10,MORTGAGE,Low,90000,15000, 36 months,debt_consolidation,High,15.31,D,16.79,522.23,Northern-Irl
10,MORTGAGE,Medium,113000,25000, 36 months,other,Low,12.53,B,6.9,836.66,leinster
5,MORTGAGE,Medium,105000,20000, 36 months,debt_consolidation,Low,11.83,B,13.87,662.68,munster
7,RENT,Low,96000,15000, 36 months,debt_consolidation,High,16,D,11.13,527.36,Northern-Irl
5,MORTGAGE,Low,62400,10000, 36 months,educational,High,14.61,D,8.46,344.76,ulster
10,MORTGAGE,High,225000,25000, 36 months,home_improvement,High,15.31,D,1.35,870.39,Northern-Irl
6,MORTGAGE,Low,79000,14000, 36 months,debt_consolidation,High,13.57,C,16.34,475.56,ulster
3,RENT,Medium,110000,4000, 36 months,other,Low,12.18,B,11.87,133.2,ulster
5,MORTGAGE,Medium,125000,7400, 36 months,debt_consolidation,Low,12.53,B,7.47,247.66,ulster
2,RENT,Low,59785,6000, 36 months,debt_consolidation,Low,8.94,A,17.58,190.63,Northern-Irl
10,OWN,Low,55000,2000, 36 months,other,Low,12.53,B,9.56,66.94,Northern-Irl
7,RENT,Low,80000,24250, 36 months,debt_consolidation,High,15.65,D,23.08,848.42,leinster
4,MORTGAGE,Medium,124000,19000, 36 months,home_improvement,High,13.92,C,11.17,648.61,leinster
2,OWN,Low,95000,10900, 36 months,debt_consolidation,Low,7.74,A,18.15,340.29,cannught
9,OWN,Low,70000,5000, 36 months,major_purchase,Low,8.59,A,2.35,158.06,ulster
0.5,RENT,Low,28800,1500, 36 months,debt_consolidation,Low,7.74,A,15.04,46.83,cannught
3,OWN,Medium,120000,7500, 36 months,debt_consolidation,Low,7.74,A,7.72,234.14,Northern-Irl
10,RENT,Low,53580,21000, 36 months,other,Low,12.18,B,4.84,699.3,leinster
10,RENT,Low,88066,24250, 36 months,debt_consolidation,High,15.65,D,15.72,848.42,ulster
2,OWN,Low,80000,10000, 36 months,debt_consolidation,Low,11.14,B,21.04,328.04,Northern-Irl
10,MORTGAGE,Low,87000,21125, 36 months,credit_card,High,13.92,C,18.33,721.15,cannught
10,OWN,Low,45500,14000, 36 months,debt_consolidation,High,13.92,C,23.26,477.92,leinster
1,RENT,Low,63000,12000, 36 months,house,High,14.26,C,10.7,411.67,Northern-Irl
10,RENT,Low,82000,18000, 36 months,other,Low,13.22,C,19.33,608.42,ulster
5,MORTGAGE,Medium,108000,13000, 36 months,other,Low,8.94,A,2.8,413.03,munster
6,RENT,Low,31776,4700, 36 months,debt_consolidation,Low,8.94,A,21.3,149.33,leinster
3,RENT,Low,43000,11400, 36 months,other,Low,8.94,A,24.78,362.2,munster
4,OWN,Low,58000,4000, 36 months,home_improvement,Low,11.14,B,5.86,131.22,Northern-Irl
7,MORTGAGE,Low,65000,14000, 36 months,debt_consolidation,High,15.31,D,23.13,487.42,cannught
0.5,RENT,Low,43200,12000, 36 months,wedding,Low,8.94,A,12.58,381.26,Northern-Irl
7,MORTGAGE,Low,54080,13750, 36 months,debt_consolidation,Low,11.14,B,16.09,451.05,cannught
0.5,RENT,Low,45000,8000, 36 months,major_purchase,Low,12.18,B,0.8,266.4,ulster
6,MORTGAGE,Low,65000,22000, 36 months,small_business,High,15.65,D,17.28,769.7,Northern-Irl
3,RENT,Low,21600,10000, 36 months,wedding,Low,12.53,B,4.72,334.67,cannught
0.5,MORTGAGE,Medium,165000,10000, 36 months,small_business,High,14.61,D,17.43,344.76,munster
0.5,RENT,Low,14400,4000, 36 months,debt_consolidation,High,14.61,D,4.92,137.91,cannught
3,MORTGAGE,Low,55000,14000, 36 months,debt_consolidation,Low,13.22,C,9.19,473.21,ulster
0.5,OWN,Low,63000,17600, 36 months,credit_card,Low,8.94,A,12.34,559.18,cannught
0.5,OWN,Medium,140000,25000, 36 months,small_business,High,17.39,E,2.47,896.19,cannught
10,MORTGAGE,Low,42000,7800, 36 months,debt_consolidation,Low,12.53,B,19,261.04,leinster
0.5,RENT,Low,30000,9000, 36 months,debt_consolidation,Low,12.18,B,9.48,299.7,Northern-Irl
5,RENT,Low,56000,20000, 36 months,debt_consolidation,Low,12.18,B,13.5,666,ulster
2,RENT,Low,51000,20000, 36 months,educational,Low,12.53,B,23.93,669.33,Northern-Irl
2,MORTGAGE,Medium,150000,24000, 36 months,small_business,High,16.35,E,14.45,847.9,Northern-Irl
2,RENT,Low,60000,23000, 36 months,debt_consolidation,Low,12.18,B,12.34,765.9,ulster
3,MORTGAGE,Low,60000,10000, 36 months,debt_consolidation,Low,12.53,B,14.36,334.67,munster
